,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
,Open,High,Low,Close,Volume
Date,,,,,
16/06/2011,1265.530029296875,1274.1099853515625,1258.0699462890625,1267.6400146484375,3846250000
17/06/2011,1268.5799560546875,1279.8199462890625,1267.4000244140625,1271.5,4916460000
20/06/2011,1271.5,1280.4200439453125,1267.56005859375,1278.3599853515625,3464660000
21/06/2011,1278.4000244140625,1297.6199951171875,1278.4000244140625,1295.52001953125,4056150000
22/06/2011,1295.47998046875,1298.6099853515625,1286.7900390625,1287.1400146484375,3718420000
23/06/2011,1286.5999755859375,1286.5999755859375,1262.8699951171875,1283.5,4983450000
24/06/2011,1283.0400390625,1283.9300537109375,1267.239990234375,1268.449951171875,3665340000
27/06/2011,1268.43994140625,1284.9100341796875,1267.530029296875,1280.0999755859375,3479070000
28/06/2011,1280.2099609375,1296.800048828125,1280.2099609375,1296.6700439453125,3681500000
29/06/2011,1296.8499755859375,1309.2099609375,1296.8499755859375,1307.4100341796875,4347540000
30/06/2011,1307.6400146484375,1321.969970703125,1307.6400146484375,1320.6400146484375,4200500000
01/07/2011,1320.6400146484375,1341.010009765625,1318.1800537109375,1339.6700439453125,3796930000
05/07/2011,1339.5899658203125,1340.8900146484375,1334.300048828125,1337.8800048828125,3722320000
06/07/2011,1337.56005859375,1340.93994140625,1330.9200439453125,1339.219970703125,3564190000
07/07/2011,1339.6199951171875,1356.47998046875,1339.6199951171875,1353.219970703125,4069530000
08/07/2011,1352.3900146484375,1352.3900146484375,1333.7099609375,1343.800048828125,3594360000
11/07/2011,1343.31005859375,1343.31005859375,1316.4200439453125,1319.489990234375,3879130000
12/07/2011,1319.6099853515625,1327.1700439453125,1313.3299560546875,1313.6400146484375,4227890000
13/07/2011,1314.449951171875,1331.47998046875,1314.449951171875,1317.719970703125,4060080000
14/07/2011,1317.739990234375,1326.8800048828125,1306.510009765625,1308.8699951171875,4358570000
15/07/2011,1308.8699951171875,1317.699951171875,1307.52001953125,1316.1400146484375,4242760000
18/07/2011,1315.93994140625,1315.93994140625,1295.9200439453125,1305.43994140625,4118160000
19/07/2011,1307.0699462890625,1328.1400146484375,1307.0699462890625,1326.72998046875,4304600000
20/07/2011,1328.6600341796875,1330.4300537109375,1323.6500244140625,1325.8399658203125,3767420000
21/07/2011,1325.6500244140625,1347.0,1325.6500244140625,1343.800048828125,4837430000
22/07/2011,1343.800048828125,1346.0999755859375,1336.949951171875,1345.02001953125,3522830000
25/07/2011,1344.3199462890625,1344.3199462890625,1331.0899658203125,1337.4300537109375,3536890000
26/07/2011,1337.3900146484375,1338.510009765625,1329.5899658203125,1331.93994140625,4007050000
27/07/2011,1331.9100341796875,1331.9100341796875,1303.489990234375,1304.8900146484375,3479040000
28/07/2011,1304.8399658203125,1316.3199462890625,1299.1600341796875,1300.6700439453125,4951800000
29/07/2011,1300.1199951171875,1304.1600341796875,1282.8599853515625,1292.280029296875,5061190000
01/08/2011,1292.5899658203125,1307.3800048828125,1274.72998046875,1286.93994140625,4967390000
02/08/2011,1286.56005859375,1286.56005859375,1254.030029296875,1254.050048828125,5206290000
03/08/2011,1254.25,1261.199951171875,1234.56005859375,1260.3399658203125,6446940000
