Date,Cap Weighted Composite_Index
08/11/2011,29.11903071308737
09/11/2011,28.19324781299257
10/11/2011,28.205167547804702
11/11/2011,28.692680650520433
14/11/2011,28.517836767026665
15/11/2011,28.881619694122946
16/11/2011,28.526976290276096
17/11/2011,28.084370826016787
18/11/2011,27.953397607558216
21/11/2011,27.421862941311623
22/11/2011,27.460763981043847
23/11/2011,26.880991136862058
25/11/2011,26.699211068988575
28/11/2011,27.50142440935447
29/11/2011,27.364785843946564
30/11/2011,28.36855740579428
01/12/2011,28.529733012335036
02/12/2011,28.46090038610942
05/12/2011,28.73186899903089
06/12/2011,28.82050572287615
07/12/2011,28.922110196580338
08/12/2011,28.593925016110216
09/12/2011,28.973613197509717
12/12/2011,28.592485882494252
13/12/2011,28.39684977198089
14/12/2011,27.974234872066585
15/12/2011,27.893873733720238
16/12/2011,27.811726546703436
19/12/2011,27.611892847811305
20/12/2011,28.37359975699361
21/12/2011,27.842823581771366
22/12/2011,28.015752731208934
23/12/2011,28.38075682974369
27/12/2011,28.44301929731568
28/12/2011,28.18560949216547
29/12/2011,28.439707168955476
30/12/2011,28.25910602333984
03/01/2012,28.671678686287283
04/01/2012,28.769401878226446
05/01/2012,28.89378408832848
06/01/2012,28.889240428478406
09/01/2012,28.84796784139788
10/01/2012,28.911720739662243
11/01/2012,28.970027249670473
12/01/2012,28.922338127042494
13/01/2012,28.78026889226307
17/01/2012,28.947980384583847
18/01/2012,29.25992185602116
19/01/2012,29.26719188814478
20/01/2012,29.752172459069417
23/01/2012,29.929189453046757
24/01/2012,29.89036481939195
25/01/2012,30.35204117082234
26/01/2012,30.2494498532423
27/01/2012,30.24853828727392
30/01/2012,30.484667253536397
31/01/2012,30.533215006778278
01/02/2012,30.638192212309907
02/02/2012,30.554543623413572
03/02/2012,30.877643946211695
06/02/2012,30.858788991042672
07/02/2012,30.997330741367918
08/02/2012,31.18698324742046
09/02/2012,31.477486252357345
10/02/2012,31.328179621356334
13/02/2012,31.52329676946062
14/02/2012,31.602752627435642
15/02/2012,31.344873402202886
16/02/2012,31.728117786948005
17/02/2012,31.770278118131465
21/02/2012,31.965599537467956
22/02/2012,31.868189322062225
23/02/2012,32.12111431968236
24/02/2012,32.23018686445302
27/02/2012,32.28615285494685
